"离退休干部处"	"Retiree's Affairs Division"
"司法改革办公室"	"Judicial Reform Office"
"新闻局"	"Information Department"
"宣传处/法宣处"	"Information Division"
"新闻办公室"	"Information Office"
"国家法官学院"	"National Judges College"
"中国司法案例研究院"	"China Judicial Cases Institute"
"国家法官学院地方分院"	"Branch of National Judges College"
"中国应用法学研究所"	"China Applied Jurisprudence Institute"
"中国法院博物馆"	"China Court Museum"
"人民法院新闻传媒总社"	"People's Court News and Media Agency"
"人民法院出版社"	"People's Court Press"
"机关服务中心"	"Logistic Service Center"
"人民法院信息技术服务中心"	"Information Technology ServiceC enter of People's Court"
"中国司法大数据研究院"	"China Judicial Big Data Institute"
"信息管理处"	"Information Management Division"
"技术室"	"Technology Office"
"司法技术处"	"Forensic Science Management Division"
"中国法官协会"	"China Judges Association"
"省市法官协会"	"Judges Association of"
"四川省法官协会"	"Judges Association of Sichuan Province"
"中国女法官协会"	"China Women Judges Association"
"中央纪委国家监委驻最高人民法院纪检监察组"	"the Discipline Inspection and Supervision Office of the CCDI and the NCS at the SPC"
"法官权益保障委员会"	"Judges Rights and Interests Committee"
"法官考评委员会"	"JudgesAssessment Committee"
"审判委员会"	"Adjudication Committee"
"赔偿委员会"	"The State Compensation Committee"
"合议庭"	"Collegial Bench"
"独任庭"	"Sole Judge"
"审判团队"	"Judge Team"
"专业法官会议"	"Judges Conference"
"首席大法官"	"Chief Justice"
"大法官"	"Justice"
"高级法官"	"Judge"
"法官"	"Judge"
"院长"	"President"
"主管日常工作的副院长"	"ExecutiveVicePresident"
"副院长"	"VicePresident"
"政治部主任"	"HeadofPoliticalDepartment"
"中央纪委国家监委驻最高人民法院纪检监察组组长"	"Chief Inspector of the Discipline Inspection and Supervision Office of the CCDI and the NCS at the SPC"
"审判委员会专职委员"	"Standing Member of the Adjudication Committee"
"审判委员会委员"	"Member of the Adjudication Committee"
"庭长"	"Chief Judge"
"副庭长"	"Deputy Chief Judge"
"审判长"	"Presiding Judge"
"局长"	"Director General"
"副局长"	"Deputy Director General"
"处长"	"Director"
"副处长"	"Deputy Director"
"科长"	"Section Chief"
"副科长"	"Deputy Section Chief"
"司法警察"	"Judicial Police"
"法官助理"	"Judge Assistant"
"书记员"	"Clerk"
"人民陪审员"	"People's Assessor"
"技术调查官"	"Technical Investigation Officer"
"速录员"	"Court Recorder"
"审判法庭"	"Court room"
"科技法庭"	"e-Courtroom"
"第一法庭"	"The First Court room"
"电子卷宗阅览室"	"e-FileRoom"
"律师工作室"	"Lawyer's Room"
"远程接访室"	"Remote Reception Room"
"接谈室"	"Reception Room"
"院长接待室"	"President's ReceptionRoom"
"听证室"	"Hearing Room"
"调解室"	"Mediation Room"
"热线服务室"	"Hotline Service Room"
"诉讼综合服务室"	"Litigation Service Room"
"多元化纠纷解决中心"	"Diversified Dispute Resolution Center (DDRCenter)"
"申诉信访服务大厅"	"Complaint and Petition Service Hall"
"诉讼服务大厅"	"Litigation Service Hall"
"自助诉讼服务台"	"Self-Service Litigation Counter"
"电子阅卷终端"	"e-File Reading Terminal"
"审判长"	"Presiding Judge"
"审判员"	"Judge"
"人民陪审员"	"People's Assessor"
"调解员"	"Mediator"
"法官助理"	"Judge Assistant"
"技术调查官"	"Technical Investigation Officer"
"书记员"	"Clerk"
"原告"	"Plaintiff"
"公益诉讼起诉人"	"Plaintiff of Public Interest Litigation"
"被告"	"Defendant"
"第三人"	"Third Party"
"公诉人"	"Prosecutor"
"附带民事诉讼原告人"	"Plaintiff of Collateral Civil Action"
"被告人"	"The Accused"
"辩护人"	"Defender"
"上诉人"	"Appellant"
"被上诉人"	"Appellee"
"原审原告"	"Plaintiff of First Instance"
"原审被告"	"Defendant of First Instance"
"原审第三人"	"Third Party of First Instance"
"再审申请人"	"Applicant for Retrial"
"被申请人"	"Respondent"
"申请执行人"	"Applicant for Enforcement"
"被执行人"	"Party Subject to Enforcement"
"请求人"	"Claimant"
"被请求人"	"Respondent"
"专利权人"	"Patentee"
"商标权人"	"Trademark Holder"
"著作权人"	"Copyright Holder"
"无效宣告请求人"	"Invalidation Petitioner"
"被诉侵权人"	"The Accused Infringer"
"证人"	"Witness"
"鉴定人"	"Expert Witness"
"专家辅助人"	"Expert Witness"
"旁听席"	"PublicGallery"
"媒体席"	"Media"
"司法警察"	"JudicialPolice"
"案件受理费"	"court acceptance fee"
"包揽诉讼"	"monopolize lawsuits"
"本地律师"	"local counsel"
"毕业证"	"diploma"
"辩护词"	"defense/pleadings"
"辩护律师"	"defense lawyer"
"辩护要点"	"point of defense"
"辩护意见"	"submission"
"财产租赁"	"property tenancy"
"裁定书"	"order/ruling"
"裁决书"	"award(用于仲裁)"
"采信的证据"	"admitted evidence/established evidence"
"草拟股权转让协议"	"drafting agreement of assignment of equity interests"
"查阅法条"	"source legal provisions"
"产权转让"	"conveyancing"
"出差"	"go on errand/go on a business"
"出具律师意见书"	"providing legal opinion"
"出示的证据"	"exhibit"
"出庭"	"appear in court"
"代理词"	"representation"
"代理房地产买卖与转让"	"agency for sale and transfer of real estate"
"代理仲裁"	"agency for arbitration"
"代写文书"	"drafting of legal instruments"
"待决案件"	"pending case"
"当事人陈述"	"statement of the parties"
"吊销执业证"	"revocation of lawyer license"
"调查笔录"	"investigative record"
"法律顾问"	"legal consultants"
"法律意见书"	"legal opinions"
"法律援助"	"legal aid"
"法院公告"	"court announcement"
"反诉状"	"counterclaim"
"房地产律师"	"real estate lawyer"
"非合伙律师"	"associate lawyer"
"非诉讼业务"	"non-litigation practice"
"各类协议和合同"	"agreements and contracts"
"公安局"	"Public Security Bureau"
"公司上市"	"company listing"
"公诉案件"	"public-prosecuting case"
"公证书"	"notarial certificate"
"国办律师事务所"	"state-run law office"
"国际诉讼"	"international litigation"
"国内诉讼"	"domestic litigation"
"合伙律师"	"partner lawyer"
"合伙制律师事务所"	"law office in partner-ship"
"合同审查、草拟、修改"	"contract review drafting and revision"
"会见当事人"	"interview a client"
"会见犯罪嫌疑人"	"interview a criminal suspect"
"兼职律师"	"part-time lawyer"
"鉴定结论"	"expert conclusion"
"缴纳会费"	"membership dues"
"举证责任"	"burden of proof"
"决定书"	"decision"
"看守所"	"detention house"
"控告人"	"accuser/complainant"
"跨国诉讼"	"transnational litigation"
"劳动争议"	"labor disputes"
"仲裁委员会"	"arbitration committee"
"律师"	"lawyer attorney/attorney at law"
"律师惩戒"	"lawyer discipline"
"律师法"	"Lawyer Law"
"律师费"	"lawyer fee"
"律师函"	"Lawyer’s Letter"
"律师见证"	"lawyer attestation/authentication"
"律师见证书"	"lawyer certification/authentication/witness"
"律师卷宗"	"lawyer’s docile/ file"
"律师刊物"	"lawyer’s journal"
"律师协会"	"National Bar (Lawyer) Association"
"律师协会会员"	"member of Lawyer Association"
"律师协会秘书长"	"secretary general of Bar (Lawyer) Association"
"律师协会章程"	"Articles of Lawyer Association"
"律师业务室"	"lawyer’s office"
"律师执业证"	"lawyer license"
"律师资格证"	"lawyer qualification certificate"
"旁证"	"circumstantial evidence"
"企业重组"	"corporate restructure"
"取消律师资格"	"disbar"
"人民检察院"	"People’s Procuratorate"
"上诉状"	"petition for appeal"
"涉外律师"	"lawyers specially handling foreign-related matters"
"申诉案件"	"appeal case"
"申诉书"	"appeal for revision/ petition for revision"
"实习律师证"	"certificate of apprentice lawyer"
"视听证据"	"audio-visual reference material"
"适用法律"	"apply law to facts"
"司法部"	"Ministry of Justice"
"司法建议书"	"judicial advise"
"司法局"	"Judicial Bureau"
"司法局副局长"	"Deputy Director of Judicial Bureau"
"司法局局长"	"Director of Judicial Bureau"
"送达"	"service of process"
"诉讼当事人"	"litigation party"
"诉讼业务"	"litigation practice"
"诉状"	"complaint/ bill of complaint/ statement of claim"
"推销法律服务"	"promote/market legal service"
"外国律师事务所"	"foreign law office"
"委托代理合同"	"authorized representation contract"
"嫌疑人"	"criminal suspect"
"项目融资"	"project financing"
"项目谈判"	"project negotiating"
"刑事案件"	"criminal case"
"刑事诉讼"	"criminal litigation"
"休庭"	"adjourn the court/ recess"
"宣誓书"	"affidavit"
"业务进修"	"attendance in advanced studies"
"与国外律师事务所交流"	"communicate with foreign law firms"
"证券律师"	"securities lawyer"
"执行笔录"	"execution record"
"执业登记"	"registration for practice"
"执业范围"	"scope of practice"
"执业申请"	"practice application"
"执业证年检"	"annual inspection of lawyer license"
"仲裁案件"	"arbitration case"
"仲裁机构"	"arbitration agency"
"专门律师"	"specialized lawyer"
"专职律师"	"professional lawyer"
"资信调查"	"credit standing investigation"
"自诉案件"	"private prosecuting case"
"案件发回"	"remand a case"
"案件名称"	"title of a case"
"案卷材料"	"materials in the case"
"案情陈述书"	"statement of case"
"案值"	"total value involved in the case"
"败诉方"	"losing party"
"办案人员"	"personnel handling a case"
"保全措施申请书"	"application for protective measures"
"报案"	"report a case (to security authorities)"
"被告人最后陈述"	"final statement of the accused"
"被告向原告第二次答辩"	"rejoinder"
"被申请执行人"	"party against whom execution is filed"
"本诉"	"principal action"
"必要共同诉讼人"	"party in necessary co-litigation"
"变通管辖"	"jurisdiction by accord"
"辩护证据"	"exculpatory evidence; defense evidence"
"辩论阶段"	"stage of court debate"
"驳回反诉"	"dismiss a counterclaim/ reject a counterclaim"
"驳回请求"	"deny/dismiss a motion"
"驳回诉讼"	"dismiss an action/suit"
"驳回通知书"	"notice of dismissal"
"驳回自诉"	"dismiss/reject a private prosecution"
"驳回自诉裁定书"	"ruling of dismissing private-prosecuting case"
"补充答辩"	"supplementary answer"
"补充判决"	"supplementary judgement"
"补充侦查"	"supplementary investigation"
"不公开审理"	"trial in camera"
"不立案决定书"	"written decision of no case-filing"
"不批准逮捕决定书"	"written decision of disapproving an arrest"
"不予受理起诉通知书"	"notice of dismissal of accusation by the court"
"财产保全申请书"	"application for attachment/ application for property preservation"
"裁定管辖"	"jurisdiction by order"
"采信的证据"	"admitted evidence"
"撤回上诉"	"withdraw appeal"
"撤销立案"	"revoke a case placed on file"
"除权判决"	"invalidating judgement (for negotiable instruments)"
"传闻证据"	"hearsay"
"答辩陈述书"	"statement of defense"
"大检察官"	"deputy chief procurator"
"代理控告"	"agency for accusation"
"代理申诉"	"agency for appeal"
"代理审判员"	"acting judge"
"代为申请取保候审"	"agency for application of the bail pending trial with restricted liberty of moving"
"弹劾式诉讼"	"accusatory procedure"
"当事人陈述"	"statement of the party"
"当庭宣判"	"pronouncement of judgement or sentence in court"
"地区管辖"	"territorial jurisdiction"
"调查笔录"	"record of investigation"
"定罪证据"	"inculpatory evidence"
"独任仲裁员"	"sole arbitrator"
"对妨碍民事诉讼的强制措施"	"compulsory measures against impairment of civil action"
"对席判决"	"judgement inter parties"
"罚款"	"impose a fine"
"法定证据"	"statutory legal evidence"
"法定证据制度"	"system of legal evidence"
"法警"	"bailiff"
"法律文书"	"legal instruments"
"法庭辩论"	"court debate"
"法庭审理笔录"	"court record"
"法庭审理方式"	"mode of court trial"
"反诉答辩状"	"answer with counterclaim"
"反诉状"	"counterclaim"
"附带民事诉讼案件"	"a collateral civil action"
"附带民事诉讼被告"	"defendant of collateral civil action"
"复查"	"reexamination/ recheck"
"复验"	"reinspect"
"高级检察官"	"senior procurator"
"告诉案件"	"case of complaint"
"告诉申诉庭"	"complaint and petition division"
"公安部"	"Ministry of Public Security"
"公安分局"	"Public Security Sub-bureau"
"公安厅"	"public security bureau at the levels of provinces autonomous regions and cities under direct jurisdiction of central government"
"公开审判制度"	"open trial system"
"公诉案件"	"public-prosecuting case"
"公诉词"	"statement of public prosecution"
"共同管辖"	"concurrent jurisdiction"
"混合式诉讼"	"mixed action"
"羁押期限"	"term in custody"
"监视居住"	"living at home under surveillance"
"鉴定结论"	"expert conclusion"
"经济审判庭"	"economic tribunal"
"径行判决"	"direct adjudication without sessions"
"宽限期"	"period of grace"
"劳动争议仲裁申请书"	"petition for labor dispute arbitration"
"临时裁决书"	"interim award"
"民事诉讼"	"civil action"
"扭送"	"seize and deliver a suspect to the police"
"普通程序"	"general/ordinary procedure"
"普通管辖"	"general jurisdiction"
"企业法人破产还债程序"	"procedure of bankruptcy and liquidation of a business corporation"
"涉外民事诉讼"	"foreign civil proceedings"
"涉外刑事诉讼"	"foreign criminal proceedings"
"司法部"	"Ministry of Justice"
"司法机关"	"judicial organization"
"司法局"	"Judicial Bureau"
"庭审程序"	"procedure of court trial"
"委托辩护"	"entrusted defense"
"先予执行申请书"	"application for advanced execution"
"刑事诉讼法"	"Criminal Procedural Law"
"刑事自诉状"	"self-incriminating criminal complaint"
"行政诉讼法"	"Administrative Procedural Law"
"讯问笔录"	"record of interrogation"
"询问犯罪嫌疑人"	"interrogate criminal suspect"
"言词证据"	"verbal evidence"
"要求传唤证人申请书"	"application for subpoena"
"一裁终局"	"arbitration award shall be final and binding"
"予审"	"preliminary examination; pretrial"
"责令具结悔过"	"order to sign a statement of repentance"
"侦查终结"	"conclusion of investigation"
"证据保全申请书"	"application for evidence preservation"
"知识产权庭"	"intellectual property tribunal"
"执行逮捕"	"execution of arrest"
"执行和解"	"conciliation of execution"
"执行庭"	"executive tribunal"
"执行中止"	"discontinuance of execution"
"执行终结"	"conclusion of execution"
"指定辩护"	"appointed defense"
"中途退庭"	"retreat during court session without permission"
"仲裁庭"	"arbitration tribunal"
"主诉检察官"	"principal procurator"
"助理检察官"	"assistant procurator"
"助理审判员"	"assistant judge"
"专门管辖"	"specific jurisdiction"
"追究刑事责任"	"investigate for criminal responsibility"
"自行辩护"	"self-defense"
"自由心证制度"	"doctrine of discretional evaluation of evidence"
"民法法律规范"	"norm of civil law"
"授权规范"	"authorization norm"
"民法基本原则"	"fundamental principles of civil law"
"平等原则"	"principle of equality"
"等价有偿原则"	"principle of equal value exchange"
"合法行为"	"lawful act"
"违法行为"	"unlawful act"
"形成权"	"right of formation"
"撤销权"	"right of claiming cancellation"
"否认权"	"right of claiming cancellation"
"解除权"	"right of renouncement"
"代位权"	"subrogated right"
"抗辩权"	"right of defense"
"人身权利"	"personal right"
"人格权"	"right of personality"
"肖像权"	"right of portraiture"
"名誉权"	"right reputation"
"隐私权"	"right of privacy"
"探视权"	"visitation right"
"正当防卫"	"justifiable right"
"防卫行为"	"act of defence"
"紧急避险"	"act of rescue"
"不可抗力"	"force majeure"
"完全行为能力"	"perfect capacity for act"
"限制行为能力"	"restrictive capacity for act"
"准禁治产人"	"quasi-interdicted person"
"无行为能力"	"incapacity for act"
"住所"	"domicile"
"居所"	"residence"
"个体工商户"	"individual business"
"入伙"	"join partnership"
"退伙"	"withdraw from partnership"
"法人合伙"	"partnership of legal person"
"有限合伙"	"limited partnership"
"民事合伙"	"civil partnership"
"企业法人"	"legal body of enterprise"
"关联企业"	"affiliate enterprise"
"国有独资企业"	"solely state-owned enterprise"
"中外合资企业"	"Sino-foreign joint venture enterprise"
"中外合作企业"	"S ino-foreign contractual enterprise"
"财团法人"	"legal body of financial group"
"联营"	"joint venture"
"法人型联营"	"association of legal persons"
"合伙型联营"	"coordinated management in partnership"
"协作型联营"	"cooperation-type coordinated management"
"合作社"	"cooperative"
"以合法形式掩盖非法目的"	"legal form concealing illegal intention"
"重大误解"	"gross misunderstanding"
"居间"	"brokerage"
"居间人"	"broker"
"信托"	"trust"
"涉外民事关系"	"civil relations with foreign elements"
"冲突规范"	"rule of conflict"
"准据法"	"applicable law; governing law"
"法律规避"	"evasion of law"
"国籍"	"nationality"
"连带责任"	"joint and several liability"
"过失责任"	"liability for negligence; negligent liability"
"过错责任"	"fault liability; liability for fault"
"疏忽大意的过失"	"careless and inadvertent negligence"
"过于自信的过失"	"negligence with undue assumption"
"民事责任承担方式"	"methods of bearing civil liability"
"返还财产"	"restitution of property"
"恢复原状"	"restitution; restitution of original state"
"恢复名誉"	"rehabilitate one’s reputation"
"赔礼道歉"	"extend a formal apology"
"所有权凭证"	"document of title; title of ownership"
"占有权"	"dominium utile; equitable ownership"
"一般留置权"	"general lien"
"特别留置权"	"special lien"
"给付"	"give"
"债务的偿清"	"discharge of debt"
"债务的担保"	"guarantee of debt"
"债务的合并"	"consolidation of debt"
"债务的给付日期"	"debt maturity"
"医药费"	"hospital treatment expense"
"医疗费"	"medical charge"
"慰问金"	"consolation money"
"不当得利"	"unjust enrichment"
"债的担保"	"guarantee of obligation"
"财产担保"	"property guarantee"
"信用担保"	"credit guarantee"
"让与担保"	"alienation guarantee"
"法定违约金"	"liquidated damages by law"
"约定违约金"	"liquidated damages by agreement"
"债的履行"	"performance of obligation"
"不当履行"	"misfeasance"
"清"	"discharge"
"提存"	"debtor’s submission of the subject matter of obligation to competent authority"
"抵销"	"setoff"
"特许权使用费"	"royalties"
"署名权"	"right of authorship"
"自费出版"	"publish a book at the author’s own expense"
"专利异议"	"objection to a patent"
"专利公告"	"patent gazette"
"专利事务所"	"patent office"
"专利代理"	"patent agency"
"中华人民共和国专利局"	"Patent Office of the People’s Republic of China"
"商标权"	"trademark right"
"商标国际注册"	"international registration of trademark"
"商标评审委员会"	"trade review and appraisal board"
"商标侵权"	"trademark infringement"
"注册商标使用许可"	"licensing of registered trademark"
"注册商标转让"	"assignment of registered trademark"
"商标使用许可协议"	"trademark licensing agreement"
"控股公司"	"holding company"
"集团公司"	"group company"
"皮包公司"	"briefcase company; fundless company"
"募集设立"	"incorporation by stock floatation"
"发起人"	"floater; initiator"
"现金出资"	"investment in cash"
"实物出资"	"investment in kind"
"注册资本"	"registered capital"
"实缴资本"	"paid-in capital"
"验资报告"	"capital verification report"
"公司章程"	"articles of association; articles of incorporation"
"公司登记"	"incorporation; corporate registration"
"公司存续"	"existence of company"
"公司法律顾问"	"corporate counsel"
"公司整顿"	"company rectification"
"公司歇业"	"closure of business"
"公司和解"	"company composition"
"公司解散"	"company dissolution"
"公司清算"	"company liquidation"
"招股章程"	"prospectus"
"股东大会"	"shareholder's meeting"
"股东大会决议"	"resolution of shareholder's meeting"
"股东大会议事规则"	"rule of procedure of shareholder's meeting"
"执行董事"	"Executive director"
"常务董事"	"Managing director"
"董事会"	"Board of Directors"
"表决权股"	"stock with voting power"
"溢价股"	"premium stock"
"折价股"	"converting stock"
"股息"	"dividend"
"法定公积金"	"legal accumulation fund"
"资本公积金"	"capital accumulation fund"
"盈余公积金"	"surplus accumulation fund"
"任意公积金"	"optional accumulation fund"
"公司犯罪"	"corporate crime"
"证券交易所"	"stock exchange"
"证券商"	"securities dealer"
"证券公司"	"securities company"
"证券经纪人"	"securities broker"
"披露制度"	"disclosing system"
"风险投资基金"	"venture capital fund"
"上海证券交易所"	"Shanghai Stock Exchange"
"深圳证券交易所"	"Shenzhen Stock Exchange"
"证券监督委员会"	"Securities Supervision Committee"
"票据法"	"Law of Negotiable Instrument"
"商业票据"	"commercial instrument"
"本票"	"promissory note"
"汇票"	"bill of exchange"
"出票日"	"date of draft/issue"
"发票地"	"place of draft/issue"
"票据到期日"	"bill to mature"
"票面价额"	"face value"
"票据出票人"	"drawer"
"票据持票人"	"bill holder"
"票据承兑人"	"bill acceptor"
"承兑票据"	"honor a bill"
"票据议付"	"negotiation"
"拒付票据"	"protest a bill"
"票据付款人"	"drawee"
"票据支付人"	"payer on commercial instrument"
"票据收款人"	"bill collector"
"票据背书人"	"endorser of the bill"
"票据权利"	"right of bill"
"票据期限"	"term of bill; tenor"
"票据债务人"	"debtor of commercial instrument"
"追索权"	"right of recourse"
"票据抗辩"	"exception to bill"
"票据丧失"	"loss of bill"
"票据时效"	"prescription of exchanges"
"票据贴现"	"discount of bill"
"再贴现"	"rediscount of bill"
"恩惠期间"	"term of benevolence"
"保险合同"	"insurance contract"
"保险人"	"insurer"
"被保险人"	"the insured"
"保险单"	"insurance policy"
"保险标的"	"insurance object"
"保险费"	"premium"
"保险利益"	"insurable interest"
"保险事故"	"insurance accident"
"保险赔偿"	"insurance indemnity"
"保险代理人"	"insurance agent"
"保险经纪人"	"insurance broker"
"理赔"	"settlement of claim"
"劳动改造法学"	"reform-through-labor"
"比较刑法学"	"comparative criminal law"
"罪刑法定原则"	"principal of a legally prescribed punishment for a specified crime"
"罪刑相适应原则"	"principal of suiting punishment to crime"
"从旧原则"	"the doctrine of observing old laws"
"从新原则"	"the doctrine of observing new laws"
"从旧兼从轻原则"	"the doctrine of observing old laws and new ones when with lighter punishment"
"从新兼从轻原则"	"the doctrine of observing new laws and old ones when with lighter punishment"
"追诉时效"	"limitation of prosecution"
"过失犯罪"	"negligent crime"
"犯罪主体"	"subject of a crime"
"犯罪客体"	"object of a crime"
"疏忽大意的过失"	"careless negligence"
"犯罪目的"	"criminal intent; criminal purpose"
"防卫过当"	"unjustifiable self-defense"
"犯罪既遂"	"completion of a crime"
"犯罪未遂"	"attempted crime"
"犯罪中止"	"abandonment/discontinuance of a crime"
"犯罪中断"	"suspension of a crime"
