"审判管理办公室"	"AdjudicationManagementOffice"
"督察局"	"DisciplineandSupervisionDepartment"
"国际合作局"	"InternationalCooperationDepartment"
"外事处"	"ForeignAffairsDivision"
"外事科、外事办公室"	"ForeignAffairsOffice"
"司法行政装备管理局"	"JudicialAdministrationandEquipmentManagementDepartment"
"司法行政装备管理处"	"JudicialAdministrationandEquipmentManagementDivision"
"机关党委"	"Party-RelatedAffairsDepartment"
"离退休干部局"	"RetireesAffairsDepartment"
"离退休干部处"	"RetireesAffairsDivision"
"司法改革办公室"	"JudicialReformOffice"
"新闻局"	"InformationDepartment"
"宣传处/法宣处"	"InformationDivision"
"新闻办公室"	"InformationOffice"
"国家法官学院"	"NationalJudgesCollege"
"中国司法案例研究院"	"ChinaJudicialCasesInstitute"
"国家法官学院地方分院"	"BranchofNationalJudgesCollege"
"中国应用法学研究所"	"ChinaAppliedJurisprudenceInstitute"
"中国法院博物馆"	"ChinaCourtMuseum"
"人民法院新闻传媒总社"	"PeoplesCourtNewsandMediaAgency"
"人民法院出版社"	"PeoplesCourtPress"
"机关服务中心"	"LogisticServiceCenter"
"人民法院信息技术服务中心"	"InformationTechnologyServiceCenterofPeoplesCourt"
"中国司法大数据研究院"	"ChinaJudicialBigDataInstitute"
"信息管理处"	"InformationManagementDivision"
"技术室"	"TechnologyOffice"
"司法技术处"	"ForensicScienceManagementDivision"
"中国法官协会"	"ChinaJudgesAssociation"
"省市法官协会"	"JudgesAssociationof"
"四川省法官协会"	"JudgesAssociationofSichuanProvince"
"中国女法官协会"	"ChinaWomenJudgesAssociation"
"中央纪委国家监委驻最高人民法院纪检监察组"	"theDisciplineInspectionandSupervisionOfficeoftheCCDIandtheNCSattheSPC"
"法官权益保障委员会"	"JudgesRightsandInterestsCommittee"
"法官考评委员会"	"JudgesAssessmentCommittee"
"审判委员会"	"AdjudicationCommittee"
"赔偿委员会"	"TheStateCompensationCommittee"
"合议庭"	"CollegialBench"
"独任庭"	"SoleJudge"
"审判团队"	"JudgeTeam"
"专业法官会议"	"JudgesConference"
"首席大法官"	"Chief Justice"
"大法官"	"Justice"
"高级法官"	"Judge"
"法官"	"Judge"
"院长"	"President"
"主管日常工作的副院长"	"ExecutiveVicePresident"
"副院长"	"VicePresident"
"政治部主任"	"HeadofPoliticalDepartment"
"中央纪委国家监委驻最高人民法院纪检监察组组长"	"ChiefInspectoroftheDisciplineInspectionandSupervisionOfficeoftheCCDIandtheNCSattheSPC"
"审判委员会专职委员"	"StandingMemberoftheAdjudicationCommittee"
"审判委员会委员"	"MemberoftheAdjudicationCommittee"
"庭长"	"ChiefJudge"
"副庭长"	"DeputyChiefJudge"
"审判长"	"PresidingJudge"
"局长、副局长（局级主任、副主任）"	"DirectorGeneral"	DeputyDirectorGeneral"
"处长、副处长（处级主任、副主任）"	"Director"	DeputyDirector"
"科长、副科长（科级主任、副主任）"	"SectionChief DeputySectionChief"
"司法警察"	"JudicialPolice"
"法官助理"	"JudgeAssistant"
"书记员"	"Clerk"
"人民陪审员"	"PeoplesAssessor"
"技术调查官"	"TechnicalInvestigationOfficer"
"速录员"	"CourtRecorder"
"审判法庭"	"Courtroom"
"科技法庭"	"e-Courtroom"
"第一法庭"	"TheFirstCourtroom"
"电子卷宗阅览室"	"e-FileRoom"
"律师工作室"	"LawyersRoom"
"远程接访室"	"RemoteReceptionRoom"
"接谈室"	"ReceptionRoom"
"院长接待室"	"PresidentsReceptionRoom"
"听证室"	"HearingRoom"
"调解室"	"MediationRoom"
"12368热线服务室"	"12368HotlineServiceRoom"
"诉讼综合服务室"	"LitigationServiceRoom"
"多元化纠纷解决中心"	"DiversifiedDisputeResolutionCenter(DDRCenter)"
"申诉信访服务大厅"	"ComplaintandPetitionServiceHall"
"诉讼服务大厅"	"LitigationServiceHall"
"自助诉讼服务台"	"Self-ServiceLitigationCounter"
"电子阅卷终端"	"e-FileReadingTerminal"
"审判长"	"PresidingJudge"
"审判员"	"Judge"
"人民陪审员"	"PeoplesAssessor"
"调解员"	"Mediator"
"法官助理"	"JudgeAssistant"
"技术调查官"	"TechnicalInvestigationOfficer"
"书记员"	"Clerk"
"原告"	"Plaintiff"
"公益诉讼起诉人"	"PlaintiffofPublicInterestLitigation"
"被告"	"Defendant"
"第三人"	"ThirdParty"
"公诉人"	"Prosecutor"
"附带民事诉讼原告人"	"PlaintiffofCollateralCivilAction"
"被告人"	"TheAccused"
"辩护人"	"Defender"
"上诉人"	"Appellant"
"被上诉人"	"Appellee"
"原审原告"	"PlaintiffofFirstInstance"
"原审被告"	"DefendantofFirstInstance"
"原审第三人"	"ThirdPartyofFirstInstance"
"再审申请人"	"ApplicantforRetrial"
"被申请人"	"Respondent"
"申请执行人"	"ApplicantforEnforcement"
"被执行人"	"PartySubjecttoEnforcement"
"请求人"	"Claimant"
"被请求人"	"Respondent"
"专利权人"	"Patentee"
"商标权人"	"TrademarkHolder"
"著作权人"	"CopyrightHolder"
"无效宣告请求人"	"InvalidationPetitioner"
"被诉侵权人"	"TheAccusedInfringer"
"证人"	"Witness"
"专家辅助人"	"ExpertWitness"
"鉴定人"	"ExpertWitness"
"旁听席"	"PublicGallery"
"媒体席"	"Media"
"司法警察"	"JudicialPolice"
